Country Name,Country Code,Series Name,Series Code,2023 [YR2023],2022 [YR2022],2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015]
Algeria,DZA,Population growth (annual %),SP.POP.GROW,1.49897601193923,1.58758210690673,1.61936460233826,1.71191216459393,1.84041291439333,1.93780623340147,2.03200060784518,2.05569111181654,2.05624795728459
Algeria,DZA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,4950,4430,4120,4020,4480,4450,4440,4920,5390
Algeria,DZA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.766,2.817,2.87,2.94,2.997,3.019,3.09,3.091,3.091
Algeria,DZA,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,10.1246021758787,9.82496617862081,9.5356442814051,9.31673652508281,9.08218314490603,8.77252354354205,8.46490756177809,8.17181949211754,7.90229857214742
Algeria,DZA,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,14.132,14.092,13.843,13.673,14.623,14.755,14.887,15.015,15.262
American Samoa,ASM,Population growth (annual %),SP.POP.GROW,-1.71290294190977,-1.81008765020754,-1.0829920166826,-0.896274880494128,-1.38257886328442,-1.32302357149178,-1.26938746413556,-1.20431808595042,-1.10585645130594
American Samoa,ASM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.286,2.305,2.327,2.36,2.404,2.494,2.598,2.699,2.78
American Samoa,ASM,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,11.6270779999352,10.9572431397575,10.4280940672089,9.95035817519165,9.55778800112665,9.21097398781355,8.86141794926716,8.50928478385993,8.15952945413078
American Samoa,ASM,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,..,..,..,..,..,..,..,..,..
Andorra,AND,Population growth (annual %),SP.POP.GROW,1.43374756867515,1.69676808598242,1.26362889534188,1.17775354895761,1.73050296926809,1.87885332176802,2.16803975005007,0.00969831319383994,-2.14248382559065
Andorra,AND,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,47920,47590,44720,42450,46450,..,..,..,..
Andorra,AND,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.082,1.071,1.058,1.028,1.045,1.053,1.129,1.184,1.223
Andorra,AND,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,21.3162124269056,20.6826613043026,20.1745877788555,19.6411355115158,19.0810488892097,18.6557962346099,18.3200361282553,18.1075351705531,18.0134777655487
Andorra,AND,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,..,..,..,..,..,..,..,..,..
Angola,AGO,Population growth (annual %),SP.POP.GROW,3.08065530722915,3.14302612044601,3.18132259995095,3.26795864914978,3.38788422184303,3.45323300897802,3.54061221486272,3.57644143982026,3.60507162233632
Angola,AGO,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2130,1870,1640,1680,2110,1970,2090,2540,3920
Angola,AGO,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.124,5.209,5.304,5.371,5.442,5.519,5.6,5.686,5.774
Angola,AGO,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,5.34330628457074,5.28569257130962,5.2433838868343,5.21599287315968,5.18975971866823,5.16801296963736,5.15758844517842,5.16027800975551,5.17212078342062
Angola,AGO,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,73.224,73.179,74.695,72.731,72.985,73.224,73.461,73.698,73.933
Antigua and Barbuda,ATG,Population growth (annual %),SP.POP.GROW,0.511400156215609,0.530270318994476,0.546161676855974,0.526173366134419,0.480553889847623,0.504979187034594,0.553103046635761,0.624381829779871,0.722892009464778
Antigua and Barbuda,ATG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,19880,18850,16680,15390,18250,17460,15860,15080,14550
Antigua and Barbuda,ATG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.578,1.58,1.58,1.569,1.468,1.371,1.485,1.458,1.567
Antigua and Barbuda,ATG,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,15.9321879414848,15.1761228594064,14.5030937285158,13.8858658164595,13.3198928868232,12.8403886619631,12.3931557396192,11.9092775748836,11.4676070146587
Antigua and Barbuda,ATG,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,..,..,..,..,..,..,..,..,..
Argentina,ARG,Population growth (annual %),SP.POP.GROW,0.286976121920089,0.210808731072658,0.265879395046274,0.484665636741261,0.710900853077743,0.822969480473088,0.881249595012674,0.968911125580978,1.04725888735726
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,12890,11820,10070,9040,11210,12390,13070,12130,12500
Argentina,ARG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.5,1.482,1.585,1.601,1.882,2.067,2.168,2.241,2.35
Argentina,ARG,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,18.600375437612,18.4528820822776,18.3808404939187,18.2822768577117,18.0994378665041,17.8664360458422,17.6360406247971,17.428506034874,17.2149420931919
Argentina,ARG,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,52.957,51.868,50.26,46.486,50,49.146,47.666,47.582,47.498
Armenia,ARM,Population growth (annual %),SP.POP.GROW,-0.165163937436499,0.2326562627468,0.0270096898904032,-0.0337609726366775,-0.219168932037313,-0.349674218173286,-0.432038450211669,-0.410212518071397,-0.305729335573084
Armenia,ARM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,6840,5680,4580,4230,4650,4220,3900,3690,3910
Armenia,ARM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.9,1.7,1.7,1.7,1.6,1.6,1.6,1.6,1.6
Armenia,ARM,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,19.6465364272266,19.2126210693179,18.7082798282625,18.2897095679418,17.8042980623195,17.2645182175621,16.7625534481544,16.2618213310109,15.8403518094083
Armenia,ARM,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,56.786,56.853,58.289,57.865,57.831,56.015,56.038,55.962,55.872
Aruba,ABW,Population growth (annual %),SP.POP.GROW,0.0456516784920034,-0.362774222330685,-0.82021108315363,-0.565684046703506,0.270504632854835,0.158975971141518,0.007357607309414,0.75796755862231,1.02370103122312
Aruba,ABW,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,30120,30590,28020,22220,28720,28130,27110,25270,24460
Aruba,ABW,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.602,1.615,1.631,1.662,1.701,1.732,1.785,1.848,1.899
Aruba,ABW,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,24.6358729936216,23.5192294269561,22.5907080566223,21.7012175057585,20.6479874145601,19.5828661740669,18.5827745152057,17.6559329274805,16.7914338422052
Aruba,ABW,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,..,..,..,..,..,..,..,..,..
Australia,AUS,Population growth (annual %),SP.POP.GROW,2.42431553908742,1.27269881377618,0.14089508329287,1.23342825131378,1.47749071058438,1.49599671041328,1.64682779735017,1.56194049810399,1.43921665259925
Australia,AUS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,63160,60710,57180,53630,54890,53080,51480,54100,60520
Australia,AUS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.5,1.63,1.7,1.581,1.657,1.74,1.741,1.752,1.814
Australia,AUS,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,26.9162152867337,26.3953997265958,25.8365969160502,25.0972747499351,24.383152985158,23.8439530509551,23.3956977573784,22.9691602900349,22.5076119973565
Australia,AUS,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,62.374,62.314,61.273,60.205,60.959,60.523,59.877,59.381,59.151
Austria,AUT,Population growth (annual %),SP.POP.GROW,0.989464653969154,0.956287797076634,0.435671684056384,0.415176731565556,0.444673639004876,0.487071924768999,0.694621103604983,1.08139629872802,1.12099250236958
Austria,AUT,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,55220,56320,53400,49000,50900,48710,44800,45980,47190
Austria,AUT,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.32,1.41,1.48,1.44,1.46,1.47,1.52,1.53,1.49
Austria,AUT,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,30.7690996579744,30.0463466946349,29.4105369475508,28.8540609192752,28.4231538747662,28.0845637081627,27.7872565537207,27.5567053741573,27.4580985301057
Austria,AUT,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,55.812,55.688,55.35,55.224,55.514,55.426,55.352,55.349,54.827
Azerbaijan,AZE,Population growth (annual %),SP.POP.GROW,0.120242150339289,0.039507866238038,0.441197735816311,0.684365325388407,0.846646726414021,0.866316916370841,0.98126180450475,1.11785721013911,1.19120985807018
Azerbaijan,AZE,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,6670,5670,4910,4480,4510,4080,4110,4790,6610
Azerbaijan,AZE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.55,1.67,1.52,1.7,1.81,1.73,1.75,1.9,1.94
Azerbaijan,AZE,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,11.5019744121837,10.8021840953996,10.2523156445265,9.87193498007914,9.49171613914909,9.11542958513083,8.77853818175382,8.45991738356804,8.19052038402182
Azerbaijan,AZE,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,60.952,61.473,59.679,64.382,62.427,62.63,62.213,62.043,61.096
"Bahamas, The",BHS,Population growth (annual %),SP.POP.GROW,0.477303918283875,0.293483989063331,0.128749531818761,0.300555038290333,0.497339072752345,0.569969444023085,0.624247409539043,0.700545015838571,0.794122280116855
"Bahamas, The",BHS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,35540,33790,29910,25180,31630,30650,29570,27820,27620
"Bahamas, The",BHS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.373,1.379,1.382,1.386,1.397,1.404,1.424,1.495,1.574
"Bahamas, The",BHS,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,16.3848277928805,16.0750800501684,15.8977826634074,15.7852290478439,15.6137157727,15.4334427485697,15.2566684751507,15.0851754892621,14.9015226119233
"Bahamas, The",BHS,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,66.733,66.321,64.517,62.759,66.721,66.774,66.502,66.291,66.407
Bahrain,BHR,Population growth (annual %),SP.POP.GROW,3.37686417721007,1.34221960637543,2.16102845934147,-0.781611308056263,-1.29469437720599,0.131482303617889,5.29314527321994,3.82316300255316,4.15422184212278
Bahrain,BHR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,28460,28300,25240,23870,25800,24200,22360,22720,23640
Bahrain,BHR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.824,1.839,1.852,1.86,1.843,1.911,1.984,2.042,2.113
Bahrain,BHR,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,4.70204200719243,4.51929731822383,4.48469160322949,4.26791907999961,3.90723397914868,3.58266646950194,3.3655938437504,3.27951147288891,3.36625827591475
Bahrain,BHR,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,43.096,42.684,41.58,41.511,42.821,43.306,43.492,43.548,43.369
Bangladesh,BGD,Population growth (annual %),SP.POP.GROW,1.22171475464107,1.02423384746683,0.814977993693211,0.836310836229073,0.84641125179804,0.820955197842845,0.850917315689336,0.892432416039535,0.89381937776758
Bangladesh,BGD,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2880,2850,2600,2320,2220,2020,1640,1400,1200
Bangladesh,BGD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.163,2.179,2.173,2.175,2.18,2.193,2.205,2.227,2.227
Bangladesh,BGD,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,9.67649438187319,9.42496463313091,9.19731840432484,8.99007678263529,8.73026000966038,8.42340995776793,8.13253782885509,7.88083150095721,7.67049516937057
Bangladesh,BGD,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,43.712,43.687,42.34,40.407,39.376,38.079,36.676,33.497,33.531
Barbados,BRB,Population growth (annual %),SP.POP.GROW,0.00637558575909917,0.0605883465692588,0.159263661079578,0.174452216457154,0.176538259610281,0.192553930005438,0.204727378663704,0.217691837314076,0.230380947989644
Barbados,BRB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,22870,22290,18320,17610,19490,18820,18240,18070,18010
Barbados,BRB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.708,1.712,1.709,1.708,1.715,1.72,1.724,1.724,1.726
Barbados,BRB,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,24.2301108640356,23.5806443031577,22.8348711422208,21.9909095713757,21.1897909484803,20.5102561808162,19.9276944855205,19.4486152160284,19.0319821769842
Barbados,BRB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,60.124,59.68,60.679,60.484,61.569,61.61,62.501,62.528,61.731
Belarus,BLR,Population growth (annual %),SP.POP.GROW,-0.540824986374776,-0.804228426880244,-0.82823272086807,-0.42347525027949,-0.201786600970723,-0.213824206997671,-0.109782322950581,0.0877210878706449,0.132853236725342
Belarus,BLR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,7850,7210,7040,6410,6370,5730,5320,5640,6740
Belarus,BLR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.208,1.326,1.371,1.369,1.382,1.448,1.541,1.733,1.724
Belarus,BLR,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,25.7489733289136,24.8097885482559,24.0359749199446,23.4066157675259,22.7212029935499,22.1081421342864,21.6059969766904,21.0753708617432,20.5902221395108
Belarus,BLR,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,57.385,57.862,57.995,57.856,58.25,58.055,58.566,58.727,58.644
Belgium,BEL,Population growth (annual %),SP.POP.GROW,0.913715890414841,0.808165350001861,0.411601996532257,0.430996815099722,0.540461327098122,0.455184695275022,0.385228018372369,0.506300002451376,0.579446241677791
Belgium,BEL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,55020,54410,51130,46330,48070,45980,42310,43240,45520
Belgium,BEL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.47,1.53,1.6,1.55,1.6,1.62,1.65,1.68,1.7
Belgium,BEL,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,31.6929138324644,31.0301816008501,30.4579943766813,30.0489982917654,29.6972645744296,29.2765038481693,28.8394533978878,28.3891844174902,28.0118130969984
Belgium,BEL,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,49.831,50.029,49.367,48.66,49.097,48.77,47.974,47.81,48.045
Belize,BLZ,Population growth (annual %),SP.POP.GROW,2.05772774277288,1.85124805102003,1.1534704907648,1.28323598131052,1.46284533510266,1.86459847610366,2.30310203964335,2.32231207163985,2.10144194153298
Belize,BLZ,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,6890,6710,6090,5170,5870,5630,5490,5650,5790
Belize,BLZ,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.007,1.949,1.837,2.04,2.142,2.343,2.368,2.396,2.433
Belize,BLZ,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,7.10225346584117,6.9566684888085,6.85471252059619,6.73303681853448,6.60831235736012,6.49214199538187,6.41494279251221,6.37867312422473,6.36048746951126
Belize,BLZ,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,49.182,48.772,48.357,51.374,57.097,52.925,48.678,49.101,48.253
Benin,BEN,Population growth (annual %),SP.POP.GROW,2.52274772277722,2.54740926342667,2.59230167510348,2.66259875153288,2.73538842831436,2.8136418840483,2.88117869411855,2.92460216679542,2.95391627666724
Benin,BEN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1390,1360,1280,1190,1170,1120,1020,1040,1100
Benin,BEN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.556,4.634,4.707,4.795,4.9,5.031,5.155,5.254,5.32
Benin,BEN,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,5.60659782608136,5.58684408386955,5.58533851884417,5.59776150965385,5.60784930683602,5.61766496035373,5.63172052147014,5.64971913433023,5.67097048784857
Benin,BEN,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,74.183,74.264,74.791,73.677,74.325,73.755,73.179,72.597,72.007
Bermuda,BMU,Population growth (annual %),SP.POP.GROW,-0.0787967316952785,0.156108751379667,0.412307799470137,0.428052860400885,0.431459657274573,0.397146720463835,0.203106496014494,-0.0236382404794606,-0.102367855986115
Bermuda,BMU,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,134500,132200,120410,110960,116920,117160,113460,105430,103940
Bermuda,BMU,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.401,1.397,1.389,1.451,1.383,1.374,1.419,1.45,1.44
Bermuda,BMU,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,32.0692107134392,30.6437969924812,29.3632626366439,28.2240596250146,27.1517178897484,26.1594471755867,25.2773467355305,24.3751586623895,23.4831951113051
Bermuda,BMU,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,..,..,..,..,..,..,..,..,..
Bhutan,BTN,Population growth (annual %),SP.POP.GROW,0.698146584889649,0.703183917780367,0.703488233671584,0.675256502719854,0.66444642692507,0.716471130925301,0.86127488782821,0.973884473914115,1.01496572424441
Bhutan,BTN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,3740,3600,3300,3040,3370,3150,2960,2880,2740
Bhutan,BTN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.462,1.478,1.488,1.502,1.448,1.517,1.621,1.738,1.835
Bhutan,BTN,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,8.82468508439157,8.7090985384842,8.60453617657872,8.5230554176093,8.47969895843659,8.48639355404976,8.54013833984428,8.50252830657715,8.35646729398757
Bhutan,BTN,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,56.619,52.511,64.902,63.002,60.631,54.743,54.815,54.893,54.976
Bolivia,BOL,Population growth (annual %),SP.POP.GROW,1.37334382280772,1.16425907336882,1.01931284088344,1.23396442673807,1.40657823805422,1.43337090655267,1.46124572329841,1.48970583998181,1.51686119793977
Bolivia,BOL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,3620,3530,3330,3150,3470,3320,3050,3000,2920
Bolivia,BOL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.547,2.584,2.618,2.651,2.688,2.73,2.777,2.829,2.886
Bolivia,BOL,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,8.63118355552824,8.55806902228028,8.66825168673634,8.92774238554768,9.04093200011477,9.02161888446861,9.01387142652194,9.01631885421019,9.02841681680411
Bolivia,BOL,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,71.909,71.714,71.058,65.591,66.243,63.559,59.112,56.919,57.044
Bosnia and Herzegovina,BIH,Population growth (annual %),SP.POP.GROW,-0.617510129445164,-1.24363802761194,-1.66384860150923,-1.39008469041609,-1.23185506471358,-1.22313569369776,-1.28437067954589,-1.30267774814121,-1.30696713269434
Bosnia and Herzegovina,BIH,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,8270,7710,6970,6160,6180,5720,5070,5070,5140
Bosnia and Herzegovina,BIH,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.486,1.481,1.49,1.515,1.509,1.504,1.419,1.36,1.322
Bosnia and Herzegovina,BIH,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,33.2256702472957,32.2087785754222,31.4058127985666,30.5809285754514,29.4669521066141,28.2359629195353,27.0890111452414,26.0917940644821,25.1995802505214
Bosnia and Herzegovina,BIH,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,39.533,38.537,38.411,38.161,38.683,38.916,39.077,39.218,39.357
Botswana,BWA,Population growth (annual %),SP.POP.GROW,1.64031664035479,1.58848021878269,1.49130106425067,1.4394103578493,1.42262847077389,1.41898108514606,1.42047647332447,1.41970172619868,1.42753223737773
Botswana,BWA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,8360,8250,7530,6600,7520,6680,6210,6060,6140
Botswana,BWA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.732,2.785,2.827,2.861,2.906,2.941,2.969,2.99,3.008
Botswana,BWA,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,6.22699039233259,6.09164361516966,6.0886312522608,6.15234479439602,6.11521264923905,6.04595307954572,5.95803154709847,5.85395870367838,5.73552868385695
Botswana,BWA,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,63.426,59.931,58.943,56.508,58.044,57.556,57.102,56.68,56.288
Brazil,BRA,Population growth (annual %),SP.POP.GROW,0.395928695574996,0.360180890872169,0.425360907216456,0.579350709708032,0.651994346081362,0.683439571425594,0.72824666001736,0.761972670496742,0.791721773592796
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,9310,8440,8060,8080,9410,9320,8830,9050,10330
Brazil,BRA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.619,1.629,1.638,1.653,1.705,1.744,1.74,1.727,1.777
Brazil,BRA,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,15.3155231428833,14.7410682664371,14.2363505448809,13.7823454162982,13.3105476119749,12.8053633893132,12.3179673512207,11.8604268136993,11.4254652033893
Brazil,BRA,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,53.205,53.864,52.482,50.338,55.306,54.581,54.353,53.522,53.323
British Virgin Islands,VGB,Population growth (annual %),SP.POP.GROW,1.72311000328138,1.33986872052852,1.79872484022046,2.01285185510385,4.8931677135622,5.81552290387566,-3.54213397683474,-1.8135515178247,4.55459685304489
British Virgin Islands,VGB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.045,1.025,0.999,0.975,0.941,0.905,0.873,0.987,1.186
British Virgin Islands,VGB,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,12.1643612693247,11.7700097100846,11.4424875586772,11.149574498774,10.8157991878922,10.5750885799945,10.3356707190573,9.73695800136125,9.31493927602877
British Virgin Islands,VGB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,Population growth (annual %),SP.POP.GROW,0.782881746925984,0.804554269312164,0.96027430523198,1.06148281648515,1.10621350885567,1.15739958778106,1.2107045656128,1.25964272152269,1.30210359279592
Brunei Darussalam,BRN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,34390,30970,29890,30810,31550,28790,29230,32570,38180
Brunei Darussalam,BRN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.747,1.764,1.778,1.796,1.819,1.848,1.881,1.915,1.947
Brunei Darussalam,BRN,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,8.98534165225889,8.54046142261388,8.14309148956244,7.7122204070603,7.26787865241093,6.84449471385708,6.44412829057299,6.07652954182335,5.75223849290106
Brunei Darussalam,BRN,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,53.527,53.701,54.791,54.556,55.057,57.721,57.459,57.411,57.383
Bulgaria,BGR,Population growth (annual %),SP.POP.GROW,-0.286577641861364,-0.650676134087796,-0.664652622488209,-1.00293821352921,-1.41171852077109,-1.3714611289258,-1.32391481752631,-1.29824041616821,-1.2711551188344
Bulgaria,BGR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,14270,13100,11720,10100,9940,8870,7900,7630,7620
Bulgaria,BGR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.81,1.78,1.8,1.77,1.79,1.73,1.71,1.67,1.64
Bulgaria,BGR,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,34.3118894334567,34.0277801361838,34.0103893114017,33.9484978540773,33.4917780909335,32.8088484425256,32.1279732745267,31.46232838734,30.675328073494
